name_of_city,state_name,population,graduates
Muktsar,PUNJAB,117085,11785
Munger,BIHAR,213101,19988
Murwara,MADHYA PRADESH,221875,27011
Mustafabad,NCT OF DELHI,127012,4462
Muzaffarnagar,UTTAR PRADESH,392451,58965
Muzaffarpur,BIHAR,351838,61914
Mysore,KARNATAKA,887446,149306
Nabadwip,WEST BENGAL,125528,10083
Nadiad,GUJARAT,218150,27432
Nagaon,ASSAM,116355,15273
Nagapattinam,TAMIL NADU,102838,8469
Nagaur,RAJASTHAN,100618,7812
Nagda,MADHYA PRADESH,100036,9844
Nagercoil,TAMIL NADU,224329,34342
Nagpur,MAHARASHTRA,2405421,382282
Naihati,WEST BENGAL,221762,23181
Nalgonda,ANDHRA PRADESH,135163,26575
Nanded Waghala,MAHARASHTRA,550564,57736
Nandurbar,MAHARASHTRA,111067,11451
Nandyal,ANDHRA PRADESH,200746,22411
Nangloi Jat,NCT OF DELHI,205497,12692
Narasaraopet,ANDHRA PRADESH,116329,13872
Nashik,MAHARASHTRA,1486973,204014
Navi Mumbai,MAHARASHTRA,1119477,192624
Navi Mumbai Panvel Raigarh,MAHARASHTRA,194999,22631
Navsari,GUJARAT,160100,17425
Neemuch,MADHYA PRADESH,128108,16428
Nellore,ANDHRA PRADESH,505258,67787
New Delhi,NCT OF DELHI,249998,63573
Neyveli,TAMIL NADU,105687,18507
Nizamabad,ANDHRA PRADESH,310467,34574
Noida,UTTAR PRADESH,642381,143014
North Barrackpur,WEST BENGAL,134825,23047
North Dum Dum,WEST BENGAL,253625,40842
Ongole,ANDHRA PRADESH,202826,32491
Orai,UTTAR PRADESH,187185,29393
Osmanabad,MAHARASHTRA,112085,14303
Ozhukarai,PUDUCHERRY,300028,50682
Palakkad,KERALA,131019,16827
Palanpur,GUJARAT,127125,15127
Pali,RAJASTHAN,229956,16234
Pallavaram,TAMIL NADU,216308,50503
Palwal,HARYANA,127931,15837
Panchkula,HARYANA,210175,62655
Panihati,WEST BENGAL,383522,58667
Panipat,HARYANA,294150,37873
Panvel,MAHARASHTRA,180464,39613
Parbhani,MAHARASHTRA,307191,30035
Patan,GUJARAT,125502,13430
Pathankot,PUNJAB,148357,24038
Patiala,PUNJAB,405164,86697
Patna,BIHAR,1683200,307603
Pilibhit,UTTAR PRADESH,130428,17508
Pimpri Chinchwad,MAHARASHTRA,1729359,249581
Pithampur,MADHYA PRADESH,126099,5150
Porbandar,GUJARAT,152136,9853
Port Blair,ANDAMAN & NICOBAR ISLANDS,100608,12420
Proddatur,ANDHRA PRADESH,162816,18151
Puducherry,PUDUCHERRY,241773,37830
Pudukkottai,TAMIL NADU,117215,15104
Pune,MAHARASHTRA,3115431,656508
Puri,ORISSA,201026,27062
Purnia,BIHAR,280547,28193
Puruliya,WEST BENGAL,121436,14793
Rae Bareli,UTTAR PRADESH,191056,34959
Raichur,KARNATAKA,232456,22445
Raiganj,WEST BENGAL,183682,16788
Raigarh,CHHATTISGARH,137097,20161
Raipur,CHHATTISGARH,1010087,147194
Rajahmundry,ANDHRA PRADESH,343903,53604
Rajapalayam,TAMIL NADU,130119,11024
Rajarhat Gopalpur,WEST BENGAL,404991,73182
Rajkot,GUJARAT,1286995,148048
Rajnandgaon,CHHATTISGARH,163122,19640
Rajpur Sonarpur,WEST BENGAL,423806,68707
Ramagundam,ANDHRA PRADESH,229632,27209
Rampur,UTTAR PRADESH,325248,30319
Ranchi,JHARKHAND,1073440,200849
Ranibennur,KARNATAKA,106365,9747
Raniganj,WEST BENGAL,128624,9719
Ratlam,MADHYA PRADESH,264810,36589
Raurkela Industrial Township,ORISSA,210412,22887
Raurkela Town,ORISSA,273217,38314
Rewa,MADHYA PRADESH,235422,41109
Rewari,HARYANA,140864,22539
Rishra,WEST BENGAL,124585,14585
Robertson Pet,KARNATAKA,146428,13400
Rohtak,HARYANA,373133,65881
Roorkee,UTTARAKHAND,118188,30594
Rudrapur,UTTARAKHAND,140884,14678
S.A.S. Nagar,PUNJAB,146104,57323
Sagar,MADHYA PRADESH,273357,39717
Saharanpur,UTTAR PRADESH,703345,80749
Saharsa,BIHAR,155175,18307
Salem,TAMIL NADU,831038,93297
Sambalpur,ORISSA,183383,26095
Sambhal,UTTAR PRADESH,221334,10580
Sangli Miraj Kupwad,MAHARASHTRA,502697,60752
Santipur,WEST BENGAL,151774,7213
Sasaram,BIHAR,147396,18844
Satara,MAHARASHTRA,120079,22292
Satna,MADHYA PRADESH,280248,37695
Sawai Madhopur,RAJASTHAN,120998,13480
Secunderabad,ANDHRA PRADESH,213698,42492
Sehore,MADHYA PRADESH,108818,13887
Seoni,MADHYA PRADESH,102377,16335
Serampore,WEST BENGAL,183339,30060
Shahjahanpur,UTTAR PRADESH,327975,33510
Shamli,UTTAR PRADESH,107233,13343
Shikohabad,UTTAR PRADESH,107300,15351
Shillong,MEGHALAYA,143007,25113
Shimla,HIMACHAL PRADESH,169758,43353
Shimoga,KARNATAKA,322428,37463
Shivpuri,MADHYA PRADESH,179972,22320
Sikar,RAJASTHAN,237579,20786
Silchar,ASSAM,172709,22274
Siliguri,WEST BENGAL,509709,65003
Singrauli,MADHYA PRADESH,220295,18047
Sirsa,HARYANA,183282,24453
Sitapur,UTTAR PRADESH,177351,28003
Siwan,BIHAR,134458,14545
Solapur,MAHARASHTRA,951118,88638
Sonipat,HARYANA,277053,46858
South Dum Dum,WEST BENGAL,410524,102942
Srikakulam,ANDHRA PRADESH,126003,21745
Srinagar,JAMMU & KASHMIR,1192792,135783
Sujangarh,RAJASTHAN,101528,5284
Sultan Pur Majra,NCT OF DELHI,181624,7390
Sultanpur,UTTAR PRADESH,107914,20475
Surat,GUJARAT,4462002,278795
Surendranagar Dudhrej,GUJARAT,177827,17558
Suryapet,ANDHRA PRADESH,105250,14203
Tadepalligudem,ANDHRA PRADESH,103577,11527
Tadpatri,ANDHRA PRADESH,108249,8618
Tambaram,TAMIL NADU,176807,35148
Tenali,ANDHRA PRADESH,164649,22433
Thane,MAHARASHTRA,1818872,241148
Thanesar,HARYANA,154962,32979
Thanjavur,TAMIL NADU,222619,33652
Thiruvananthapuram,KERALA,752490,151257
Thoothukkudi,TAMIL NADU,237374,31795
Thrissur,KERALA,315596,53535
Tiruchirappalli,TAMIL NADU,846915,123329
Tirunelveli,TAMIL NADU,474838,59397
Tirupati,ANDHRA PRADESH,287035,55454
Tiruppur,TAMIL NADU,444543,33358
Tiruvannamalai,TAMIL NADU,144683,16502
Tiruvottiyur,TAMIL NADU,248059,25781
Titagarh,WEST BENGAL,118426,5643
Tonk,RAJASTHAN,165363,11776
Tumkur,KARNATAKA,305821,42163
Udaipur,RAJASTHAN,451735,92090
Udgir,MAHARASHTRA,104063,9924
Udupi,KARNATAKA,125350,22444
Ujjain,MADHYA PRADESH,515215,72743
Ulhasnagar,MAHARASHTRA,506937,43561
Uluberia,WEST BENGAL,222175,11384
Unnao,UTTAR PRADESH,178681,27220
Uttarpara Kotrung,WEST BENGAL,162386,35773
Vadodara,GUJARAT,1666703,279959
Valsad,GUJARAT,114987,18980
Varanasi,UTTAR PRADESH,1201815,172622
Vasai Virar City,MAHARASHTRA,1221233,129954
Vellore,TAMIL NADU,185895,15592
Veraval,GUJARAT,153696,10089
Vidisha,MADHYA PRADESH,155959,22023
Vijayawada,ANDHRA PRADESH,1048240,135425
Visakhapatnam,ANDHRA PRADESH,1730320,250549
Vizianagaram,ANDHRA PRADESH,227533,30656
Warangal,ANDHRA PRADESH,620116,109613
Wardha,MAHARASHTRA,105543,19363
Yamunanagar,HARYANA,216628,29803
Yavatmal,MAHARASHTRA,116714,13511
